post_id,title,category,score,num_comments,author,collected_at
47640728,Show HN: A game where you build a GPU,technology,772,160,Jaso1024,2026-04-05 16:19:09
47645432,Introduction to Computer Music (2009) [pdf],technology,162,53,luu,2026-04-05 16:19:11
47640875,"LLM Wiki – example of an ""idea file""",technology,203,64,tamnd,2026-04-05 16:19:12
47587089,"Zml-smi: universal monitoring tool for GPUs, TPUs and NPUs",technology,49,7,steeve,2026-04-05 16:19:14
47639779,"Show HN: sllm – Split a GPU node with other developers, unlimited tokens",technology,159,79,jrandolf,2026-04-05 16:19:20
47640380,Apple approves driver that lets Nvidia eGPUs work with Arm Macs,technology,436,194,naves,2026-04-05 16:19:25
47637757,Embarrassingly simple self-distillation improves code generation,technology,601,181,Anon84,2026-04-05 16:19:27
47606244,Training mRNA Language Models Across 25 Species for $165,technology,138,32,maziyar,2026-04-05 16:19:30
47633396,Tell HN: Anthropic no longer allowing Claude Code subscriptions to use OpenClaw,technology,1050,797,firloop,2026-04-05 16:19:31
47645235,Brain scans reveal how to enters a psychedelic-like trance without drugs,technology,53,13,ingenika,2026-04-05 16:19:35
47633855,Claude Code Found a Linux Vulnerability Hidden for 23 Years,technology,396,248,eichin,2026-04-05 16:19:38
47645468,Writing Lisp is AI resistant and I'm sad,technology,67,69,djha-skin,2026-04-05 16:19:46
47644934,"Delve claiming that whistleblower was part of a ""targeted cyberattack""",technology,5,1,rrvsh,2026-04-05 16:19:51
47616157,Software never had a soul,technology,18,16,firloop,2026-04-05 16:19:53
47621792,Post Mortem: axios NPM supply chain compromise,technology,279,131,JeanMeche,2026-04-05 16:19:55
47624645,Show HN: Apfel – The free AI already on your Mac,technology,718,146,franze,2026-04-05 16:19:57
47647038,An AI bot invited me to its party in Manchester. It was a pretty good night,technology,7,1,mellosouls,2026-04-05 16:20:01
47641788,Iranian missile blitz takes down AWS data centers in Bahrain and Dubai,technology,168,145,lschueller,2026-04-05 16:20:01
47633131,"Run Linux containers on Android, no root required",technology,212,82,politelemon,2026-04-05 16:20:02
47618223,We replaced RAG with a virtual filesystem for our AI documentation assistant,technology,394,147,denssumesh,2026-04-05 16:20:04
47622616,The Technocracy Movement of the 1930s,technology,166,135,lazydogbrownfox,2026-04-05 16:20:06
47638147,"Show HN: Pluck – Copy any UI from any website, paste it into AI coding tools",technology,16,13,bring-shrubbery,2026-04-05 16:20:08
47645976,AI that copied musical artist files copyright claim against artist [updated],technology,60,14,josephcsible,2026-04-05 16:20:12
47646843,Lisette a little language inspired by Rust that compiles to Go,worldnews,79,35,jspdown,2026-04-05 16:20:15
47645025,"Show HN: Contrapunk – Real-time counterpoint harmony from guitar input, in Rust",worldnews,73,30,waveywaves,2026-04-05 16:20:24
47614532,Ruckus: Racket for iOS,worldnews,131,12,nsm,2026-04-05 16:20:29
47644808,The machines are fine. I'm worried about us,worldnews,22,2,Plasmoid,2026-04-05 16:20:39
47637287,Some Unusual Trees,worldnews,278,82,simplegeek,2026-04-05 16:20:45
47645817,How Pope Leo is pushing back on divine justification of war,worldnews,33,18,1659447091,2026-04-05 16:20:46
47610590,The East India Company in Japan,worldnews,10,2,Thevet,2026-04-05 16:20:47
47628608,OpenClaw privilege escalation vulnerability,worldnews,504,249,kykeonaut,2026-04-05 16:20:52
47629903,Why are we still using Markdown?,worldnews,211,280,veqq,2026-04-05 16:20:54
47597366,The most-disliked people in the publishing industry,worldnews,92,64,Caiero,2026-04-05 16:20:56
47616242,Decisions that eroded trust in Azure – by a former Azure Core engineer,worldnews,1247,632,axelriet,2026-04-05 16:20:57
47633116,The house is a work of art: Frank Lloyd Wright,worldnews,111,63,midnightfish,2026-04-05 16:20:58
47601194,"The Cathedral, the Bazaar, and the Winchester Mystery House",worldnews,181,63,dbreunig,2026-04-05 16:20:59
47643656,The Oxygen Apocalpyse: how bacteria used a spin diode to wipe out ancient life,worldnews,21,4,KR_compchem,2026-04-05 16:21:02
47642275,"Netflix must refund customers for years of price hikes, Italian court rules",worldnews,58,5,xbmcuser,2026-04-05 16:21:05
47624804,Category Theory Illustrated – Types,worldnews,108,19,boris_m,2026-04-05 16:21:07
47646241,Applying machine learning to identify unrecognized Covid-19 deaths in the US,worldnews,11,7,Pxtl,2026-04-05 16:21:09
47633676,"Extra usage credit for Pro, Max, and Team plans",worldnews,64,60,angst,2026-04-05 16:21:15
47597159,Improving my focus by giving up my big monitor,worldnews,182,173,Fudgel,2026-04-05 16:21:16
47624736,NHS staff refusing to use FDP over Palantir ethical concerns,worldnews,352,163,chrisjj,2026-04-05 16:21:20
47615002,Qwen3.6-Plus: Towards real world agents,worldnews,586,207,pretext,2026-04-05 16:21:32
47645240,SpaceX Pushes Back Crucial Starship Test Launch,worldnews,11,5,bookmtn,2026-04-05 16:21:39
47609564,Steam on Linux Use Skyrocketed Above 5% in March,worldnews,780,365,hkmaxpro,2026-04-05 16:21:42
47615449,Artemis II will use laser beams to live-stream 4K moon footage at 260 Mbps,worldnews,373,152,speckx,2026-04-05 16:22:03
47646363,Modern Generic SVGA driver for Windows 3.1,sports,43,10,userbinator,2026-04-05 16:22:21
47644726,"Power-washing, pool-cleaning and mowing – playing games about mundane jobs",sports,12,1,andsoitis,2026-04-05 16:22:33
47639727,"When legal sports betting surges, so do Americans' financial problems",sports,199,131,pseudolus,2026-04-05 16:22:36
47641615,Sopwith – 1984 Game (2000),sports,93,41,elvis70,2026-04-05 16:22:43
47641164,Polymarket apologizes for allowing wagers on fate of U.S. pilots downed in Iran,sports,29,23,ceejayoz,2026-04-05 16:23:56
47643217,Microsoft to force updates to Windows 11 25H2 for PCs with older OS versions,sports,46,42,cratermoon,2026-04-05 16:25:02
47624270,Q148637: Windows 95/98 Overwrites Boot-Sector Field on Floppy Disks (2001),sports,10,3,TMWNN,2026-04-05 16:25:04
47607394,SolveSpace (open source 2D/3D CAD) working on Windows 2000 (2025),sports,40,6,ruevs,2026-04-05 16:25:06
47621557,Show HN: SkiFlee (an HTML5 game),sports,8,9,BSTRhino,2026-04-05 16:26:47
47632273,"Wine 11.6 – Run Windows Applications on Linux, BSD, Solaris and macOS",sports,8,0,neustradamus,2026-04-05 16:26:57
47607408,Scientists Figured Out How Eels Reproduce (2022),science,34,0,thunderbong,2026-04-05 16:27:25
47611993,VR Realizes the Cyberspace Metaphor,science,14,8,dryadin,2026-04-05 16:27:45
47641464,Scientists observe an immune signaling complex forming inside cells,science,109,7,ohjeez,2026-04-05 16:27:56
47629485,A case study in testing with 100+ Claude agents in parallel,science,52,46,thejash,2026-04-05 16:28:26
47645926,The Spaceballs sequel will be released in April next year,science,5,0,WaitWaitWha,2026-04-05 16:28:30
47611721,IBM Announces Strategic Collaboration with Arm,science,281,191,bonzini,2026-04-05 16:29:12
47604155,SpaceX files to go public,science,397,572,nutjob2,2026-04-05 16:29:16
47608495,Quantum computing bombshells that are not April Fools,science,264,105,Strilanc,2026-04-05 16:29:34
47602598,An experimental guide to Answer Engine Optimization,science,9,3,rosslh,2026-04-05 16:29:38
